cas operacie,cislo na indexe,index prvku,dlzka zoznamu,
1e-07,5,0,1,
1e-07,13,0,1,
2e-07,16,0,4,
1e-07,17,1,8,
1e-07,12,0,1,
2e-07,28,0,1,
1e-07,92,1,3,
1e-07,2,2,5,
1e-07,16,3,5,
2e-07,92,0,3,
2e-07,42,3,8,
1e-07,32,0,16,
2e-07,92,16,21,
2e-07,30,2,16,
2e-07,23,6,18,
1e-07,30,1,7,
2e-07,19,3,10,
2e-07,43,0,11,
1e-07,10,0,3,
1e-07,22,0,1,
2e-07,22,0,1,
2e-07,10,0,1,
2e-07,38,2,4,
1e-07,4,8,14,
2e-07,33,7,9,
3e-07,37,27,29,
3e-07,23,26,30,
1e-07,14,2,22,
1e-07,15,1,20,
2e-07,6,15,18,
2e-07,5,10,18,
2e-07,43,11,18,
2e-07,24,15,26,
2e-07,35,21,24,
1e-07,10,4,26,
1e-07,42,4,22,
2e-07,93,18,27,
2e-07,91,17,33,
2e-07,14,5,21,
2e-07,20,10,24,
3e-07,16,20,27,
3e-07,24,24,28,
1e-07,44,8,12,
2e-07,42,6,15,
1e-07,14,7,17,
2e-07,12,18,23,
2e-07,38,0,6,
2e-07,45,2,6,
1e-07,44,2,5,
2e-07,1,0,2,
1e-07,33,0,2,
1e-07,1,1,3,
2e-07,11,4,6,
2e-07,37,7,20,
1e-07,37,7,20,
1e-07,29,3,19,
2e-07,34,18,20,
3e-07,33,20,26,
2e-07,3,8,21,
3e-07,1,11,29,
1e-07,31,3,20,
2e-07,44,2,27,
4e-07,43,20,28,
3e-07,20,18,24,
3e-07,20,17,23,
2e-07,26,0,22,
2e-07,45,10,22,
2e-07,1,13,21,
1e-07,27,3,16,
2e-07,1,7,13,
2e-07,94,7,10,
2e-07,44,7,14,
1e-07,18,3,13,
2e-07,36,12,15,
3e-07,37,20,24,
1e-07,30,3,20,
2e-07,26,1,21,
1e-07,10,2,37,
3e-07,8,25,45,
1e-07,24,4,41,
1e-07,9,3,33,
2e-07,29,9,44,
2e-07,8,14,47,
3e-07,93,36,50,
3e-07,12,31,37,
2e-07,5,11,36,
1e-07,44,3,35,
3e-07,25,34,40,
1e-07,13,0,36,
2e-07,4,10,37,
3e-07,35,24,35,
2e-07,93,10,43,
4e-07,42,41,44,
3e-07,28,35,42,
3e-07,42,36,42,
3e-07,17,30,37,
2e-07,36,12,43,
2e-07,9,19,39,
3e-07,2,32,38,
3e-07,92,24,38,
3e-07,13,29,41,
2e-07,15,15,35,
2e-07,8,18,37,
3e-07,25,23,41,
2e-07,16,4,49,
3e-07,29,16,47,
4e-07,93,32,48,
3e-07,44,40,50,
3e-07,26,35,43,
4e-07,28,34,46,
3e-07,29,24,52,
4e-07,17,39,54,
2e-07,39,20,56,
3e-07,17,43,63,
2e-07,16,12,63,
1e-07,23,0,60,
2e-07,39,15,60,
4e-07,6,35,58,
4e-07,42,45,56,
5e-07,17,47,56,
2e-07,16,5,53,
3e-07,39,22,52,
2e-07,38,19,55,
2e-07,25,13,55,
2e-07,7,13,50,
2e-07,25,16,53,
5e-07,95,48,50,
2e-07,32,19,41,
1e-07,25,8,31,
3e-07,30,19,31,
4e-07,20,23,26,
3e-07,6,23,33,
4e-07,8,24,28,
3e-07,29,26,30,
1e-07,24,1,48,
3e-07,36,22,47,
2e-07,23,13,40,
1e-07,20,0,41,
2e-07,43,14,34,
1e-07,43,4,34,
3e-07,33,18,32,
2e-07,8,7,18,
1e-07,15,4,25,
3e-07,25,16,41,
3e-07,19,28,39,
3e-07,19,27,38,
1e-07,38,8,34,
3e-07,7,30,33,
2e-07,32,7,37,
3e-07,6,20,31,
2e-07,6,13,24,
2e-07,17,15,28,
2e-07,39,7,22,
1e-07,9,5,20,
2e-07,33,14,17,
2e-07,14,2,15,
3e-07,13,15,17,
2e-07,36,15,21,
2e-07,4,4,19,
2e-07,43,13,22,
1e-07,4,3,20,
1e-07,94,7,18,
1e-07,38,3,15,
2e-07,2,8,10,
2e-07,13,4,10,
1e-07,26,1,3,
1e-07,1,0,2,
1e-07,33,0,2,
2e-07,39,3,5,
1e-07,33,1,5,
2e-07,24,5,7,
2e-07,27,1,8,
1e-07,38,3,6,
1e-07,1,3,8,
1e-07,35,1,8,
1e-07,35,0,7,
2e-07,1,5,9,
3e-07,18,16,21,
3e-07,29,20,32,
3e-07,29,27,32,
3e-07,35,25,33,
3e-07,31,14,22,
2e-07,22,9,22,
2e-07,16,16,21,
2e-07,30,16,21,
1e-07,10,5,28,
3e-07,4,21,29,
3e-07,36,15,27,
1e-07,33,3,29,
2e-07,33,3,29,
2e-07,25,11,30,
3e-07,34,29,34,
2e-07,20,13,25,
3e-07,2,19,21,
2e-07,37,10,20,
3e-07,6,15,18,
1e-07,33,0,7,
1e-07,2,6,15,
3e-07,35,11,17,
2e-07,21,14,27,
1e-07,18,1,27,
2e-07,31,1,13,
1e-07,92,9,11,
2e-07,23,1,5,
2e-07,43,1,3,
2e-07,21,3,6,
1e-07,14,3,7,
2e-07,5,0,9,
2e-07,41,4,11,
2e-07,9,5,8,
1e-07,30,2,8,
1e-07,24,5,11,
2e-07,27,1,16,
2e-07,36,1,6,
2e-07,91,1,10,
1e-07,31,2,10,
1e-07,36,1,6,
2e-07,32,0,7,
1e-07,30,5,12,
2e-07,14,1,11,
2e-07,16,7,10,
2e-07,3,11,18,
3e-07,16,20,22,
2e-07,34,13,21,
3e-07,44,14,17,
2e-07,35,7,15,
1e-07,33,7,13,
1e-07,91,8,10,
1e-07,43,6,12,
1e-07,13,0,4,
2e-07,14,1,5,
1e-07,29,0,7,
1e-07,94,3,6,
1e-07,38,8,10,
1e-07,7,2,6,
1e-07,40,1,6,
1e-07,27,0,6,
2e-07,34,7,9,
2e-07,34,1,4,
1e-07,26,0,5,
3e-07,8,0,7,
1e-07,45,0,3,
2e-07,8,7,12,
2e-07,36,3,10,
4e-07,10,26,37,
3e-07,9,22,36,
2e-07,1,2,30,
1e-07,3,5,30,
2e-07,37,2,22,
1e-07,4,1,22,
1e-07,43,1,20,
3e-07,34,18,25,
1e-07,34,2,10,
2e-07,19,17,21,
2e-07,21,13,32,
2e-07,95,24,39,
2e-07,24,9,41,
3e-07,43,26,41,
1e-07,4,0,26,
3e-07,27,20,27,
2e-07,33,17,28,
2e-07,22,15,28,
2e-07,25,14,27,
2e-07,93,4,9,
1e-07,29,0,17,
2e-07,23,13,17,
2e-07,17,7,12,
2e-07,39,4,17,
1e-07,1,7,16,
1e-07,7,1,10,
2e-07,37,0,9,
1e-07,93,3,12,
2e-07,11,5,12,
2e-07,26,4,11,
2e-07,31,0,8,
1e-07,20,4,12,
2e-07,91,7,10,
1e-07,23,2,7,
2e-07,2,4,6,
1e-07,31,1,5,
2e-07,21,0,5,
2e-07,10,5,8,
1e-07,25,1,9,
2e-07,8,0,10,
1e-07,25,2,7,
2e-07,35,0,3,
1e-07,19,2,4,
2e-07,22,6,18,
2e-07,19,15,17,
1e-07,6,2,14,
2e-07,16,6,26,
1e-07,26,6,23,
3e-07,13,25,27,
2e-07,29,20,31,
2e-07,16,3,12,
1e-07,32,8,18,
3e-07,34,24,32,
3e-07,12,17,26,
1e-07,34,4,14,
1e-07,27,6,14,
3e-07,12,20,23,
2e-07,34,16,27,
2e-07,44,1,16,
2e-07,41,4,28,
2e-07,14,4,29,
1e-07,21,6,22,
2e-07,12,11,21,
2e-07,1,14,19,
1e-07,20,5,9,
2e-07,32,7,15,
2e-07,32,8,15,
2e-07,40,0,1,
1e-07,12,0,2,
2e-07,31,0,2,
1e-07,15,1,4,
1e-07,13,0,4,
1e-07,37,1,6,
1e-07,37,0,5,
1e-07,11,7,20,
2e-07,23,8,19,
2e-07,32,1,12,
1e-07,27,2,18,
3e-07,16,23,26,
2e-07,31,2,38,
2e-07,4,0,36,
3e-07,43,14,47,
1e-07,23,1,47,
2e-07,16,12,47,
2e-07,8,11,35,
4e-07,26,37,39,
2e-07,6,25,37,
4e-07,27,39,41,
4e-07,12,44,49,
2e-07,91,22,58,
3e-07,26,29,61,
3e-07,41,25,58,
3e-07,14,16,66,
5e-07,2,48,63,
5e-07,18,35,68,
4e-07,20,47,72,
4e-07,38,42,72,
3e-07,95,15,69,
2e-07,95,14,48,
3e-07,40,29,47,
3e-07,7,36,46,
4e-07,20,27,47,
2e-07,94,13,43,
2e-07,31,8,46,
3e-07,8,24,49,
2e-07,10,5,49,
4e-07,30,38,49,
3e-07,40,15,46,
2e-07,40,16,49,
5e-07,6,45,48,
3e-07,34,24,48,
3e-07,38,22,49,
2e-07,2,8,48,
4e-07,39,44,49,
3e-07,41,26,49,
2e-07,40,8,46,
3e-07,21,32,46,
2e-07,1,16,48,
3e-07,22,27,43,
3e-07,43,35,47,
3e-07,95,19,44,
2e-07,3,17,37,
1e-07,5,4,39,
4e-07,40,31,35,
2e-07,12,15,37,
4e-07,93,32,37,
3e-07,1,25,38,
3e-07,1,24,36,
3e-07,24,23,41,
2e-07,3,15,44,
2e-07,17,3,43,
2e-07,93,17,40,
4e-07,12,36,42,
3e-07,24,13,40,
2e-07,38,17,34,
3e-07,25,25,27,
3e-07,14,19,22,
2e-07,22,2,21,
3e-07,93,20,23,
1e-07,95,7,22,
1e-07,14,0,22,
2e-07,41,8,20,
2e-07,95,7,26,
2e-07,8,16,23,
1e-07,28,4,19,
1e-07,33,2,13,
2e-07,91,11,16,
1e-07,1,8,16,
2e-07,7,9,18,
2e-07,43,8,17,
2e-07,94,10,18,
1e-07,35,5,14,
2e-07,25,7,15,
2e-07,29,12,16,
2e-07,45,11,13,
3e-07,40,15,20,
3e-07,20,13,20,
4e-07,25,16,20,
2e-07,45,12,20,
2e-07,8,11,21,
2e-07,32,5,21,
2e-07,25,18,23,
2e-07,29,3,27,
2e-07,40,21,27,
3e-07,9,28,32,
4e-07,9,37,40,
4e-07,1,30,35,
3e-07,94,16,36,
1e-07,32,6,37,
3e-07,16,21,37,
2e-07,11,17,36,
4e-07,44,31,35,
2e-07,9,8,31,
2e-07,40,15,30,
2e-07,28,5,32,
2e-07,2,5,23,
2e-07,45,6,34,
2e-07,44,1,33,
2e-07,10,10,47,
1e-07,12,6,49,
3e-07,11,25,49,
4e-07,19,37,52,
2e-07,10,17,41,
3e-07,92,26,43,
1e-07,37,0,40,
2e-07,18,6,27,
2e-07,16,15,25,
2e-07,25,8,26,
1e-07,23,0,24,
3e-07,32,21,24,
3e-07,23,25,29,
2e-07,23,18,33,
4e-07,94,30,39,
1e-07,91,4,39,
4e-07,38,37,41,
3e-07,21,22,42,
4e-07,26,40,45,
4e-07,91,39,58,
4e-07,92,27,58,
4e-07,17,41,50,
2e-07,38,15,50,
2e-07,23,14,49,
3e-07,30,34,53,
5e-07,3,44,53,
2e-07,34,13,48,
4e-07,44,41,46,
2e-07,21,12,45,
3e-07,12,26,48,
2e-07,21,19,50,
2e-07,95,2,50,
3e-07,11,24,54,
2e-07,24,12,52,
4e-07,37,29,53,
4e-07,6,39,51,
2e-07,34,26,48,
2e-07,11,26,35,
3e-07,27,33,35,
3e-07,2,23,34,
4e-07,28,36,38,
1e-07,40,6,35,
2e-07,41,14,39,
4e-07,28,33,38,
2e-07,28,21,35,
3e-07,30,15,44,
1e-07,20,6,46,
3e-07,40,22,44,
2e-07,28,3,41,
4e-07,30,32,42,
2e-07,95,15,32,
1e-07,35,9,31,
2e-07,35,16,29,
2e-07,19,15,26,
4e-07,19,25,46,
2e-07,37,7,54,
3e-07,26,25,54,
3e-07,27,7,55,
4e-07,44,29,56,
2e-07,18,10,59,
2e-07,14,12,65,
3e-07,31,30,66,
3e-07,24,19,59,
4e-07,22,30,42,
3e-07,35,21,42,
3e-07,5,29,40,
3e-07,20,20,34,
4e-07,44,39,41,
2e-07,32,12,33,
2e-07,44,7,31,
2e-07,18,17,30,
1e-07,29,11,18,
1e-07,16,3,22,
1e-07,9,1,19,
2e-07,14,7,26,
3e-07,39,14,21,
2e-07,39,11,19,
3e-07,44,24,29,
1e-07,2,6,27,
2e-07,45,14,27,
3e-07,93,15,27,
2e-07,21,12,25,
2e-07,16,11,18,
1e-07,44,0,1,
2e-07,95,0,1,
1e-07,21,2,10,
1e-07,21,3,10,
3e-07,15,12,15,
6e-07,37,0,16,
2e-07,32,5,18,
1e-07,37,1,19,
2e-07,41,1,22,
3e-07,31,10,15,
2e-07,17,10,16,
1e-07,18,3,23,
6.03e-05,26,16,18,
3e-07,43,12,17,
3e-07,31,9,15,
2e-07,21,2,10,
2e-07,28,5,11,
1e-07,41,5,10,
1e-07,27,2,6,
2e-07,12,2,7,
1e-07,31,5,8,
2e-07,12,1,5,
2e-07,7,9,12,
2e-07,95,4,7,
1e-07,42,0,2,
2e-07,5,0,6,
1e-07,45,2,8,
1e-07,12,0,4,
1e-07,94,2,4,
2e-07,21,0,2,
1e-07,32,0,3,
1e-07,37,0,2,
1e-07,16,1,7,
2e-07,5,8,11,
1e-07,92,1,14,
1e-07,37,1,16,
2e-07,23,18,23,
3e-07,91,16,24,
1e-07,43,6,18,
1e-07,28,4,13,
3e-07,19,5,15,
1e-07,2,0,5,
1e-07,34,0,4,
1e-07,22,1,3,
3e-07,18,7,9,
1e-07,8,0,7,
1e-07,10,1,4,
1e-07,41,0,8,
2e-07,25,4,13,
2e-07,11,0,16,
2e-07,40,11,17,
2e-07,5,1,10,
2e-07,93,5,12,
1e-07,24,9,17,
2e-07,37,8,10,
2e-07,37,1,35,
3e-07,32,24,41,
2e-07,27,18,42,
3e-07,92,27,35,
2e-07,30,9,35,
3e-07,16,17,29,
3e-07,27,11,29,
2e-07,42,12,30,
1e-07,22,4,33,
2e-07,39,11,37,
2e-07,93,12,41,
3e-07,30,31,41,
2e-07,93,7,45,
3e-07,6,15,45,
2e-07,29,2,39,
3e-07,44,30,41,
2e-07,36,12,54,
3e-07,6,25,53,
1e-07,13,10,53,
4e-07,13,34,52,
2e-07,23,19,54,
2e-07,10,5,59,
4e-07,10,42,63,
5e-07,93,54,75,
1e-07,7,6,69,
5e-07,13,45,66,
2e-07,29,0,74,
3e-07,20,19,73,
4e-07,27,41,74,
3e-07,33,23,74,
6e-07,29,62,74,
6e-07,10,63,72,
4e-07,91,26,74,
2e-07,19,3,79,
5e-07,32,51,76,
3e-07,91,30,91,
2e-07,21,11,91,
7e-07,1,78,94,
4e-07,32,40,95,
3e-07,20,20,93,
5e-07,13,45,80,
3e-07,4,21,79,
4e-07,37,38,78,
6e-07,3,54,78,
4e-07,94,39,77,
2e-07,44,16,67,
1e-07,9,9,70,
1e-07,3,0,63,
3e-07,41,19,62,
5e-07,43,55,60,
5e-07,94,57,62,
2e-07,7,9,49,
2e-07,7,11,48,
6e-07,45,61,63,
4e-07,27,41,65,
5e-07,45,64,67,
4e-07,28,43,69,
3e-07,6,15,72,
4e-07,37,48,74,
6e-07,93,70,75,
3e-07,91,26,71,
5e-07,11,60,71,
3e-07,92,23,71,
3e-07,92,27,68,
4e-07,27,48,66,
3e-07,30,30,69,
2e-07,34,14,62,
4e-07,15,51,57,
4e-07,4,34,57,
3e-07,30,23,55,
4e-07,93,26,53,
4e-07,4,18,48,
2e-07,8,13,56,
4e-07,7,34,61,
2e-07,29,12,61,
4e-07,11,35,58,
4e-07,36,33,58,
6e-07,22,58,60,
6e-07,35,62,64,
5e-07,41,48,60,
2e-07,9,5,69,
1e-07,9,5,69,
2e-07,23,14,79,
6e-07,92,53,79,
3e-07,3,30,87,
5e-07,11,49,84,
6e-07,20,76,85,
1e-07,33,5,85,
4e-07,93,38,81,
3e-07,3,28,66,
2e-07,34,6,57,
2e-07,4,9,57,
3e-07,15,36,57,
4e-07,5,29,62,
2e-07,25,15,68,
6e-07,92,60,73,
6e-07,35,63,78,
2e-07,16,5,73,
5e-07,35,57,72,
3e-07,42,26,72,
3e-07,28,34,76,
2e-07,30,12,81,
2e-07,41,6,74,
4e-07,41,52,76,
5e-07,27,51,88,
5e-07,43,60,87,
5e-07,23,64,77,
3e-07,13,16,73,
1e-07,35,7,71,
1e-07,17,1,71,
5e-07,92,48,71,
1e-07,11,2,75,
4e-07,95,37,69,
2e-07,15,13,73,
5e-07,42,48,81,
3e-07,36,30,80,
2e-07,13,8,85,
6e-07,22,71,85,
6e-07,14,62,74,
5e-07,42,54,92,
2e-07,12,9,109,
6e-07,10,75,100,
7e-07,91,83,99,
3e-07,32,17,97,
2e-07,1,9,91,
6e-07,27,65,89,
7e-07,44,76,90,
4e-07,13,39,94,
5e-07,93,42,83,
1e-07,24,12,81,
5e-07,93,52,84,
3e-07,92,17,88,
4e-07,6,40,86,
8e-07,91,76,80,
5e-07,39,49,81,
7e-07,25,85,89,
6e-07,25,77,86,
4e-07,9,43,84,
6e-07,23,61,105,
8e-07,28,100,110,
4e-07,93,30,112,
1e-07,23,3,111,
5e-07,24,55,104,
5e-07,33,56,126,
3e-07,17,24,124,
7e-07,93,76,127,
5e-07,42,52,134,
4.6e-06,15,100,136,
1e-06,31,121,146,
9e-07,37,118,146,
3e-07,7,26,140,
9e-07,44,110,136,
3e-07,4,14,135,
1e-06,10,114,135,
8e-07,7,99,135,
7e-07,31,90,141,
9e-07,42,111,150,
1e-06,17,122,153,
7e-07,37,91,153,
8e-07,36,97,140,
6e-07,42,63,138,
9e-07,16,105,134,
7e-07,17,70,133,
8e-07,94,106,129,
4e-07,10,35,134,
3e-07,93,25,136,
5e-07,11,47,145,
1e-07,22,0,162,
8e-07,16,108,157,
1e-06,20,135,157,
1e-07,38,8,145,
9e-07,45,126,143,
4e-07,19,35,146,
5e-07,8,58,145,
7e-07,93,74,137,
5e-07,31,41,136,
4e-07,3,49,141,
7e-07,43,72,152,
7e-07,18,72,156,
6e-07,42,63,156,
7e-07,31,80,155,
5e-07,36,50,157,
9e-07,29,105,156,
2e-07,26,9,154,
9e-07,7,120,158,
9e-07,39,100,167,
1e-06,41,126,169,
7e-07,25,74,178,
1.3e-06,22,171,177,
3e-07,21,24,179,
7e-07,4,86,179,
8e-07,25,97,174,
3e-07,44,26,170,
9e-07,2,119,175,
1e-07,45,1,169,
1e-06,2,118,169,
1.1e-06,37,115,159,
8e-07,37,99,158,
4e-07,2,40,160,
7e-07,42,78,161,
2e-07,30,22,156,
3e-07,24,27,156,
9e-07,35,118,153,
1.1e-06,10,131,149,
2e-07,23,17,153,
1e-07,15,0,166,
8e-07,33,80,172,
1.2e-06,44,149,171,
8e-07,17,96,168,
4e-07,42,35,164,
4e-07,95,30,162,
7e-07,33,68,155,
3e-07,4,25,158,
4e-07,10,31,158,
4e-07,2,46,161,
2e-07,31,8,157,
1.1e-06,23,131,141,
1e-07,28,9,137,
1e-06,34,120,136,
3e-07,15,27,142,
9e-07,95,99,137,
1e-06,10,120,138,
6e-07,35,59,121,
2e-07,30,5,123,
8e-07,93,83,120,
4e-07,9,47,122,
5e-07,9,47,122,
8e-07,38,98,123,
6e-07,33,70,126,
4e-07,36,44,126,
2e-07,94,5,131,
3e-07,92,18,131,
5e-07,5,43,134,
4e-07,13,34,132,
5e-07,91,46,129,
6e-07,14,67,129,
2e-07,91,9,129,
2e-07,37,6,131,
3e-07,95,27,134,
3e-07,95,29,133,
3e-07,8,25,131,
6.7e-06,5,60,133,
3e-07,35,28,141,
8e-07,14,96,140,
9e-07,33,102,144,
3e-07,4,27,138,
3e-07,4,24,142,
2e-07,4,7,138,
7e-07,94,76,140,
7e-07,5,81,141,
8e-07,22,85,133,
6e-07,1,52,133,
2e-07,14,13,133,
1e-06,33,129,133,
1e-06,93,111,142,
8e-07,17,90,146,
9e-07,3,106,143,
1.1e-06,24,139,147,
1.1e-06,32,149,154,
7e-07,94,87,155,
1.2e-06,37,132,146,
8e-07,20,86,147,
6e-07,9,70,141,
6e-07,28,62,138,
8e-07,8,102,139,
2e-07,14,13,139,
2e-07,14,10,139,
9e-07,95,98,136,
6e-07,5,62,133,
7e-07,28,44,137,
6e-07,13,54,135,
3e-07,38,24,127,
5e-07,93,50,129,
4e-07,3,40,120,
8e-07,8,92,120,
7e-07,29,93,126,
5e-07,28,55,111,
2e-07,14,9,111,
4e-07,95,40,100,
5e-07,28,51,103,
2e-07,45,10,104,
4e-07,6,44,102,
4e-07,11,39,113,
2e-07,45,18,111,
6e-07,43,73,120,
7e-07,22,77,120,
7e-07,8,82,116,
5e-07,28,48,106,
5e-07,40,62,102,
4e-07,93,38,96,
2e-07,10,3,98,
8e-07,25,86,99,
5e-07,28,48,98,
8e-07,2,93,102,
8e-07,43,95,101,
2e-07,6,10,101,
1e-07,39,4,101,
4e-07,6,43,101,
7e-07,22,80,104,
5e-07,2,57,102,
5e-07,38,64,109,
5e-07,7,42,99,
4e-07,27,36,110,
4e-07,94,33,114,
5e-07,6,53,103,
5e-07,43,53,114,
3e-07,23,25,116,
5e-07,19,59,118,
9e-07,37,119,121,
1e-06,27,121,125,
4e-07,93,32,126,
5e-07,43,52,131,
1.1e-06,26,100,121,
5e-07,40,60,119,
5e-07,22,41,119,
7e-07,12,90,123,
4e-07,20,33,122,
6e-07,22,61,123,
8e-07,40,99,123,
